competency_id,competency_name,domain,parent_competency_id,is_subskill,description,level_1_definition,level_2_definition,level_3_definition,level_4_definition,level_5_definition,related_skills,related_roles,framework_status
STAT-SURVEY,Survey Design,Statistical Competencies,NULL,N,"Ability to design questionnaires, survey instruments and data collection protocols for official statistics.","Aware of the existence, purpose and basic terminology of Survey Design; cannot yet apply it unsupervised.","Can perform simple, well-defined Survey Design tasks under supervision using standard templates/tools.",Can independently carry out routine Survey Design tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Survey Design approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Survey Design.",Python/R/Stata,"Survey Statistician, Field Investigator",prototype
STAT-SAMPLING,Sampling,Statistical Competencies,NULL,N,Ability to design and apply probability/non-probability sampling schemes for large-scale surveys.,"Aware of the existence, purpose and basic terminology of Sampling; cannot yet apply it unsupervised.","Can perform simple, well-defined Sampling tasks under supervision using standard templates/tools.",Can independently carry out routine Sampling tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Sampling approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Sampling.","Survey Design, R, Stata","Survey Statistician, Statistical Officer",prototype
STAT-NATACC,National Accounts,Statistical Competencies,NULL,N,"Compilation and interpretation of GDP, GVA and related national accounts aggregates.","Aware of the existence, purpose and basic terminology of National Accounts; cannot yet apply it unsupervised.","Can perform simple, well-defined National Accounts tasks under supervision using standard templates/tools.",Can independently carry out routine National Accounts tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot National Accounts approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in National Accounts.","Economic Statistics, National Accounts Statistics","Economic Statistician, ISS Officer",prototype
STAT-PRICE,Price Statistics,Statistical Competencies,NULL,N,"Compilation of CPI/WPI and other price indices, including base-year revisions.","Aware of the existence, purpose and basic terminology of Price Statistics; cannot yet apply it unsupervised.","Can perform simple, well-defined Price Statistics tasks under supervision using standard templates/tools.",Can independently carry out routine Price Statistics tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Price Statistics approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Price Statistics.","Index Numbers, National Accounts",Price Statistics Officer,prototype
STAT-LABOUR,Labour Statistics,Statistical Competencies,NULL,N,"Measurement of employment, unemployment and labour-force indicators (e.g. PLFS).","Aware of the existence, purpose and basic terminology of Labour Statistics; cannot yet apply it unsupervised.","Can perform simple, well-defined Labour Statistics tasks under supervision using standard templates/tools.",Can independently carry out routine Labour Statistics tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Labour Statistics approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Labour Statistics.","Survey Design, Sampling",Labour Statistics Officer,prototype
STAT-AGRI,Agricultural Statistics,Statistical Competencies,NULL,N,"Collection and compilation of crop, livestock and allied agricultural statistics.","Aware of the existence, purpose and basic terminology of Agricultural Statistics; cannot yet apply it unsupervised.","Can perform simple, well-defined Agricultural Statistics tasks under supervision using standard templates/tools.",Can independently carry out routine Agricultural Statistics tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Agricultural Statistics approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Agricultural Statistics.","Survey Design, GIS",Agricultural Statistics Officer,prototype
STAT-INDUS,Industrial Statistics,Statistical Competencies,NULL,N,"Compilation of Annual Survey of Industries (ASI), IIP and related industrial data.","Aware of the existence, purpose and basic terminology of Industrial Statistics; cannot yet apply it unsupervised.","Can perform simple, well-defined Industrial Statistics tasks under supervision using standard templates/tools.",Can independently carry out routine Industrial Statistics tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Industrial Statistics approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Industrial Statistics.","National Accounts, Data Quality Frameworks",Industrial Statistics Officer,prototype
STAT-SDG,SDG Indicators,Statistical Competencies,NULL,N,"Compilation, monitoring and reporting of Sustainable Development Goal indicators.","Aware of the existence, purpose and basic terminology of SDG Indicators; cannot yet apply it unsupervised.","Can perform simple, well-defined SDG Indicators tasks under supervision using standard templates/tools.",Can independently carry out routine SDG Indicators tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot SDG Indicators approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in SDG Indicators.","Metadata Standards, Data Quality Frameworks","SDG Monitoring Officer, Policy Analyst",prototype
STAT-META,Metadata Standards,Statistical Competencies,NULL,N,"Application of statistical metadata standards (e.g. SDMX, DDI) for documenting official statistics.","Aware of the existence, purpose and basic terminology of Metadata Standards; cannot yet apply it unsupervised.","Can perform simple, well-defined Metadata Standards tasks under supervision using standard templates/tools.",Can independently carry out routine Metadata Standards tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Metadata Standards approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Metadata Standards.","Data Quality Frameworks, Open Data",Data Documentation Officer,prototype
STAT-DQ,Data Quality Frameworks,Statistical Competencies,NULL,N,"Application of frameworks (e.g. IMF DQAF) to assess accuracy, timeliness and coherence of statistics.","Aware of the existence, purpose and basic terminology of Data Quality Frameworks; cannot yet apply it unsupervised.","Can perform simple, well-defined Data Quality Frameworks tasks under supervision using standard templates/tools.",Can independently carry out routine Data Quality Frameworks tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Data Quality Frameworks approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Data Quality Frameworks.","Metadata Standards, Sampling","Quality Assurance Officer, ISS Officer",prototype
TECH-PYTHON,Python,Technical Competencies,NULL,N,"Programming languages, statistical analysis","Aware of the existence, purpose and basic terminology of Python; cannot yet apply it unsupervised.","Can perform simple, well-defined Python tasks under supervision using standard templates/tools.",Can independently carry out routine Python tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Python approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Python.",Data Analytics,"Data Analyst, AI Practitioner",prototype
TECH-R,R,Technical Competencies,NULL,N,"Statistical programming, econometrics","Aware of the existence, purpose and basic terminology of R; cannot yet apply it unsupervised.","Can perform simple, well-defined R tasks under supervision using standard templates/tools.",Can independently carry out routine R tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot R approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in R.",Data Analytics,"Data Analyst, Statistician",prototype
TECH-SQL,SQL,Technical Competencies,NULL,N,"Relational databases, data extraction","Aware of the existence, purpose and basic terminology of SQL; cannot yet apply it unsupervised.","Can perform simple, well-defined SQL tasks under supervision using standard templates/tools.",Can independently carry out routine SQL tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot SQL approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in SQL.",Data Analytics,"Data Analyst, Database Officer",prototype
TECH-STATA,Stata,Technical Competencies,NULL,N,"Econometrics, survey data analysis","Aware of the existence, purpose and basic terminology of Stata; cannot yet apply it unsupervised.","Can perform simple, well-defined Stata tasks under supervision using standard templates/tools.",Can independently carry out routine Stata tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot Stata approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in Stata.",Data Analytics,"Economist, ISS Officer",prototype
TECH-SPSS,SPSS,Technical Competencies,NULL,N,"Statistical analysis, social science research","Aware of the existence, purpose and basic terminology of SPSS; cannot yet apply it unsupervised.","Can perform simple, well-defined SPSS tasks under supervision using standard templates/tools.",Can independently carry out routine SPSS tasks and interpret common outputs correctly.,"Can design, adapt and troubleshoot SPSS approaches for non-routine problems and guide others.","Recognized subject-matter authority who sets standards, trains others and innovates methodology in SPSS.",Data Analytics,Social Statistics Officer,prototype
