course_id,course_title,competency_id,competency_name,mapping_type,evidence,confidence
do_1144751221174108161801,Artificial Intelligence for Public Governance,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_1144751221174108161801,Artificial Intelligence for Public Governance,TECH-AIML-ML,Machine Learning Fundamentals,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_11435133174226124811008,Large Language Models: Concepts and Applications,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_11435133174226124811008,Large Language Models: Concepts and Applications,TECH-AIML-GENAI,Generative AI / LLMs,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_1142424672815677441135,AI in Government: Transforming Public Service Delivery,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_1142424672815677441135,AI in Government: Transforming Public Service Delivery,TECH-AIML-ML,Machine Learning Fundamentals,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_1145242891094835201284,Artificial Intelligence for Karmayogis | Artificial Intelligence for Smarter Governance,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_1145242891094835201284,Artificial Intelligence for Karmayogis | Artificial Intelligence for Smarter Governance,TECH-AIML-ML,Machine Learning Fundamentals,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_1144314741016166401174,YUVA AI for All,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_1144314741016166401174,YUVA AI for All,TECH-AIML-ML,Machine Learning Fundamentals,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_114371136825573376161,Introduction to Artificial Intelligence,TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
do_114371136825573376161,Introduction to Artificial Intelligence,TECH-AIML-ML,Machine Learning Fundamentals,DERIVED,Course title contains a keyword associated with this subskill,0.45
do_1143584122272481281396,"[Hindi title - Devanagari script, garbled in source PDF text extraction] (approx. 'Fundamentals of Artificial Intelligence: Learning, Application and Ethics')",BM-ETHICS,Ethics,DERIVED,Course title contains a keyword associated with this competency,0.5
do_1143584122272481281396,"[Hindi title - Devanagari script, garbled in source PDF text extraction] (approx. 'Fundamentals of Artificial Intelligence: Learning, Application and Ethics')",TECH-AIML,AI/ML,DERIVED,Course title contains a keyword associated with this competency,0.5
