course_id,course_title,course_url,description,learning_outcomes,official_competencies,normalized_competencies,competency_category,tags,provider,author_creator,duration,course_type,difficulty_level,target_role,modules,assessments_available,language,license,source_url,extraction_note
do_1144751221174108161801,Artificial Intelligence for Public Governance,https://portal.igotkarmayogi.gov.in/app/toc/do_1144751221174108161801/overview,NULL,NULL,NULL,NULL,NULL,NULL,Kyndryl & Data Security Council of India,Kyndryl & Data Security Council of India,2h 42m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_11435133174226124811008,Large Language Models: Concepts and Applications,https://portal.igotkarmayogi.gov.in/app/toc/do_11435133174226124811008/overview,NULL,NULL,NULL,NULL,NULL,NULL,IIT Hyderabad,IIT Hyderabad,1h 31m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_114367967480078336157,Deep Tech and India,https://portal.igotkarmayogi.gov.in/app/toc/do_114367967480078336157/overview,NULL,NULL,NULL,NULL,NULL,NULL,ORF,ORF,53m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_1142424672815677441135,AI in Government: Transforming Public Service Delivery,https://portal.igotkarmayogi.gov.in/app/toc/do_1142424672815677441135/overview,NULL,NULL,NULL,NULL,NULL,NULL,Indian Institute of Science (IISc) Bengaluru,Indian Institute of Science (IISc) Bengaluru,1h 16m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_1145242891094835201284,Artificial Intelligence for Karmayogis | Artificial Intelligence for Smarter Governance,https://portal.igotkarmayogi.gov.in/app/toc/do_1145242891094835201284/overview,NULL,NULL,NULL,NULL,NULL,NULL,Karmayogi Bharat,Karmayogi Bharat,1h 34m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_1144314741016166401174,YUVA AI for All,https://portal.igotkarmayogi.gov.in/app/toc/do_1144314741016166401174/overview,NULL,NULL,NULL,NULL,NULL,NULL,India AI Mission,India AI Mission,3h 50m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_114371136825573376161,Introduction to Artificial Intelligence,https://portal.igotkarmayogi.gov.in/app/toc/do_114371136825573376161/overview,NULL,NULL,NULL,NULL,NULL,NULL,IIT Madras,IIT Madras,1h 2m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
do_1143584122272481281396,"[Hindi title - Devanagari script, garbled in source PDF text extraction] (approx. 'Fundamentals of Artificial Intelligence: Learning, Application and Ethics')",https://portal.igotkarmayogi.gov.in/app/toc/do_1143584122272481281396/overview,NULL,NULL,NULL,NULL,NULL,NULL,Microsoft,Microsoft,1h 34m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,Hindi or Marathi (exact language unconfirmed; script rendering corrupted in source PDF),NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,"Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use. Title text was non-Latin script that came out corrupted/garbled during PDF text extraction; the bracketed approximate English gloss is an aid for human reviewers only, NOT a verified official title -- treat as UNVERIFIED and re-extract from source PDF or portal directly."
do_1144377652256768001186,"[Hindi title - Devanagari script, garbled in source PDF text extraction] (approx. 'Use of Responsible AI in Governance')",https://portal.igotkarmayogi.gov.in/app/toc/do_1144377652256768001186/overview,NULL,NULL,NULL,NULL,NULL,NULL,Wadhwani Foundation,Wadhwani Foundation,44m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,Hindi or Marathi (exact language unconfirmed; script rendering corrupted in source PDF),NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,"Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use. Title text was non-Latin script that came out corrupted/garbled during PDF text extraction; the bracketed approximate English gloss is an aid for human reviewers only, NOT a verified official title -- treat as UNVERIFIED and re-extract from source PDF or portal directly."
do_114318843800133632145,Artificial Intelligence in Finance,https://portal.igotkarmayogi.gov.in/app/toc/do_114318843800133632145/overview,NULL,NULL,NULL,NULL,NULL,NULL,XLRI,XLRI,1h 44m,iGOT native self-paced course,Beginner,NULL,NULL,NULL,NULL,NULL,https://cdnbbsr.s3waas.gov.in/s3f7696a9b362ac5a51c3dc8f098b73923/uploads/2026/04/20260401805284386.pdf,Course ID/URL reconstructed from a line-wrapped PDF table cell; digits verified against source text but NOT independently confirmed by loading the live iGOT page (page requires JavaScript/login). Recommend spot-verification before production use.
