programme_id,id_type,programme_name,training_category,topic,description,learning_objectives,target_participants,eligibility,duration,batch_size,venue,institute,training_mode,training_year,schedule,recommended_by_TPAC,source_document,source_page,source_url
NSSTA-PROT-001,internal_prototype_id,Survey Methodology and Data Analysis,ISS Probationary Training,Survey Methodology and Data Analysis,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"ISI, Kolkata",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk1-2,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-002,internal_prototype_id,Basics of Macro Economic Theory,ISS Probationary Training,Basics of Macro Economic Theory,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"DSE, New Delhi",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk3,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-003,internal_prototype_id,Joining Formalities / Fundamentals of Official Statistics / Office Procedure,ISS Probationary Training,Joining Formalities / Fundamentals of Official Statistics / Office Procedure,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk3,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-004,internal_prototype_id,Administrative Statistics,ISS Probationary Training,Administrative Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk4,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-005,internal_prototype_id,DBTP for UT of Ladakh,Demand Based Training Programme,DBTP for UT of Ladakh,NULL,NULL,Others,NULL,26 day(s),17,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk4-6,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-006,internal_prototype_id,"Current Economic Issues, Energy and Environment",ISS Probationary Training,"Current Economic Issues, Energy and Environment",NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"IIM A / IGIDR, Mumbai",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk5,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-007,internal_prototype_id,Derived Statistics (Official Statistics),ISS Probationary Training,Derived Statistics (Official Statistics),NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk5,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-008,internal_prototype_id,Population and Demography Statistics,ISS Probationary Training,Population and Demography Statistics,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"IIPS, Mumbai",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk6,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-009,internal_prototype_id,Agriculture & Allied Statistics,ISS Probationary Training,Agriculture & Allied Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk6,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-010,internal_prototype_id,Team Building and Leadership through Adventure Sports (Trekking),SSS In-Service Training,Team Building and Leadership through Adventure Sports (Trekking),NULL,NULL,SSOs,NULL,5 day(s),25,NULL,"NIM, Uttarkashi",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk6,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-011,internal_prototype_id,Nuances of Data Collection,SSS Half-day Online Workshop,Nuances of Data Collection,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk6,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-012,internal_prototype_id,Financial Statistics,ISS Probationary Training,Financial Statistics,NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,"NIBM, Pune",Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk7,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-013,internal_prototype_id,Labour Force Statistics & Price Statistics,ISS Probationary Training,Labour Force Statistics & Price Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk7,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-014,internal_prototype_id,"Soft Skills, Personality Development & Professional Excellence",SSS In-Service Training,"Soft Skills, Personality Development & Professional Excellence",NULL,NULL,JSOs,NULL,5 day(s),25,NULL,DES Kerala,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk7,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-015,internal_prototype_id,Foundation Course on Machine Learning using Python,MCTP Phase 1 Stage-I,Foundation Course on Machine Learning using Python,NULL,NULL,ISS officers (8-10 yrs service),NULL,5 day(s),25,NULL,IIT Madras / IISC Bengaluru / C.R. Rao Hyderabad / IIT Kharagpur / IIT Delhi / IIT Mumbai / IIIT,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk7,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-016,internal_prototype_id,Personality Development and Interpersonal Relationships,SSS Half-day Online Workshop,Personality Development and Interpersonal Relationships,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk7,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-017,internal_prototype_id,"Big Data, Data Mining, Data Warehousing, Data Analytics, AI, Python, Hadoop",ISS Probationary Training,"Big Data, Data Mining, Data Warehousing, Data Analytics, AI, Python, Hadoop",NULL,NULL,ISS (P)-46th Batch (2024),NULL,5 day(s),28,NULL,IIT Madras / IISC Bengaluru / C.R. Rao Hyderabad / IIT Kharagpur / IIT Delhi / IIT Mumbai / IIIT,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk8-9,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-018,internal_prototype_id,National Account Statistics / Social Statistics / Education Statistics,ISS Probationary Training,National Account Statistics / Social Statistics / Education Statistics,NULL,NULL,ISS (P)-47th Batch (2025),NULL,5 day(s),31,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk8,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
NSSTA-PROT-019,internal_prototype_id,Professional Communication and Effective Presentation,SSS Half-day Online Workshop,Professional Communication and Effective Presentation,NULL,NULL,"SSOs, JSOs and field staff",NULL,Half day / 1 day,200-1000,NULL,NSSTA,Residential/In-person (per calendar; not explicitly stated for all rows),FY 2025-2026,Wk8,Y,NSSTA - Advance Training Calendar for FY(2025-2026) [Tentative],NULL,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY(25-26).pdf
